ward_id,city_id,ward,last_updated
2,48316,Auyakayi,"2021-03-12 09:49:14"
3,48316,Auyo,"2021-03-12 10:00:44"
4,48316,Ayama,"2021-03-12 10:01:31"
5,48316,Ayan,"2021-03-12 10:01:46"
6,48316,Gamafai,"2021-03-12 10:02:05"
7,48316,Gamsarka,"2021-03-12 10:02:27"
8,48316,Gatafa,"2021-03-12 10:02:46"
9,48316,Kafur,"2021-03-12 10:03:00"
10,48316,Tsidir,"2021-03-12 10:03:20"
11,48316,Unik,"2021-03-12 10:03:38"
12,30841,Babura,"2021-03-12 10:04:40"
13,30841,Batali,"2021-03-12 10:05:28"
14,30841,Dorawa,"2021-03-12 10:05:57"
15,30841,Garu,"2021-03-12 10:06:19"
16,30841,Kyambo,"2021-03-12 10:06:43"
17,30841,Gasakoli,"2021-03-12 10:07:12"
18,30841,Insharuwa,"2021-03-12 10:07:39"
19,30841,"Jigawar Babura","2021-03-12 10:08:07"
20,30841,"Kanya (Babura)","2021-03-12 10:08:51"
21,30841,Kuzunzumi,"2021-03-12 10:09:16"
23,30842,"Birnin Kudu","2021-03-12 10:13:56"
24,30842,Kangire,"2021-03-12 10:14:14"
25,30842,Kantoga,"2021-03-12 10:14:34"
26,30842,Kiyako,"2021-03-12 10:14:52"
27,30842,Kwangwara,"2021-03-12 10:15:08"
28,30842,"Lafiya Birnin Kudu","2021-08-15 08:29:13"
29,30842,Sundimina,"2021-03-12 10:15:58"
30,30842,Surko,"2021-03-12 10:16:14"
31,30842,"Unguwar Ya","2021-03-12 10:16:36"
32,30842,Wurno,"2021-03-12 10:16:55"
33,30842,"Yalwa Damai","2021-03-12 10:17:13"
34,48317,Batu,"2021-03-12 10:17:27"
35,48317,Birniwa,"2021-03-12 10:17:44"
36,48317,Dangwaleri,"2021-03-12 10:18:03"
37,48317,Diginsa,"2021-03-12 10:18:26"
38,48317,Fagi,"2021-03-12 10:18:37"
39,48317,Kachakari,"2021-03-12 10:19:02"
40,48317,Karanga,"2021-03-12 10:19:20"
41,48317,Kazura,"2021-03-12 10:19:33"
42,48317,Machinamari,"2021-03-12 10:19:51"
43,48317,Nguwa,"2021-03-12 10:20:04"
44,48317,Matamu,"2021-03-12 10:20:21"
45,30843,Ahoto,"2021-03-12 10:29:27"
46,30843,Buji,"2021-03-12 10:29:50"
47,30843,Chirbun,"2021-03-12 10:30:59"
48,30843,Falageri,"2021-03-12 10:31:19"
49,30843,Gantsa,"2021-03-12 10:31:40"
50,30843,Kawaya,"2021-03-12 10:32:01"
51,30843,Kukuma,"2021-03-12 10:32:19"
52,30843,"Lelan Kudu","2021-03-12 10:32:40"
53,30843,Madabe,"2021-03-12 10:33:00"
54,30843,"Yayarin Tukur","2021-03-12 10:33:36"
55,30844,Abaya,"2021-03-12 10:33:52"
56,30844,Chamo,"2021-03-12 10:34:10"
57,30844,Dundubus,"2021-03-12 10:34:34"
58,30844,Duru,"2021-03-12 10:34:51"
59,30844,"Jigawa Tsada","2021-03-12 10:35:11"
60,30844,Kachi,"2021-03-12 10:35:31"
61,30844,Karnaya,"2021-03-12 10:36:55"
62,30844,Madobi,"2021-03-12 10:38:01"
63,30844,Kudai,"2021-03-12 10:38:19"
64,30844,Limawa,"2021-03-12 10:38:32"
65,30844,Sakwaya,"2021-03-12 10:39:01"
66,48318,"Gagarawa Gari","2021-03-12 10:39:22"
67,48318,"Gagarawa Tasha","2021-03-12 10:39:47"
68,48318,"Garin Chiroma","2021-03-12 10:40:09"
69,48318,"Kore Balatu","2021-03-12 10:41:07"
70,48318,Madaka,"2021-03-12 10:41:21"
71,48318,Mai'aduwa,"2021-03-12 10:41:54"
72,48318,Maikilili,"2021-03-12 10:42:15"
73,48318,Medu,"2021-03-12 10:42:31"
74,48318,Yalawa,"2021-03-16 11:32:18"
75,48318,Zarada,"2021-03-12 10:43:06"
76,30845,Buduru,"2021-03-12 10:46:03"
77,30845,Doko,"2021-03-12 10:46:30"
78,30845,"Gwarzon Garki","2021-03-12 10:47:04"
79,30845,Jirima,"2021-03-12 10:47:23"
80,30845,Kanya,"2021-03-12 10:47:38"
81,30845,Kargo,"2021-03-12 10:47:55"
82,30845,Kore,"2021-03-12 10:49:07"
83,30845,Muku,"2021-03-12 10:48:22"
84,30845,"Rafin Marke","2021-07-16 08:40:46"
85,30845,Sayori,"2021-03-12 10:49:39"
86,30846,Bekarya,"2021-03-12 10:50:00"
87,30846,Galagamma,"2021-03-12 10:51:16"
88,30846,"Dan Ama","2021-03-12 10:52:14"
89,30846,"Garin Gambo","2021-03-12 10:52:34"
90,30846,Hammado,"2021-03-12 10:52:51"
91,30846,Zango,"2021-03-12 10:53:05"
92,30846,Dantanoma,"2021-03-12 10:53:27"
93,48319,Abunabo,"2021-03-12 11:04:36"
94,48319,Adiyani,"2021-03-12 11:04:56"
95,48319,Dawa,"2021-03-12 11:05:12"
96,48319,Garbagal,"2021-03-12 11:06:03"
97,48319,Guri,"2021-03-12 11:06:21"
98,48319,Kadira,"2021-03-12 11:07:18"
99,48319,Lafiya,"2021-03-12 11:07:49"
100,48319,Margadu,"2021-03-12 11:08:10"
101,48319,Musari,"2021-03-12 11:08:26"
102,48319,Zugo,"2021-03-12 11:08:46"
103,30847,Basirka,"2021-03-12 11:09:04"
104,30847,Dingaya,"2021-03-12 11:09:32"
105,30847,Fagam,"2021-03-12 11:09:50"
106,30847,"Farin Dutse","2021-03-12 11:10:16"
107,30847,Gwaram,"2021-03-12 11:10:34"
108,30847,Kila,"2021-03-12 11:10:49"
