city_id,city,state_id,city_abbr
30841,Babura,2664,BBR
30842,"Birnin Kudu",2664,BKD
30843,Buji,2664,BUJ
30844,Dutse,2664,DUT
30845,Garki,2664,GRK
30846,Gumel,2664,GML
30847,Gwaram,2664,GWA
30848,Gwiwa,2664,GWI
30849,Hadejia,2664,HDJ
30850,Jahun,2664,JHN
30851,Kaugama,2664,KGM
30852,Kazaure,2664,KZR
30853,"Kafin Hausa",2664,KFH
30854,Kiyawa,2664,KYW
30855,Maigatari,2664,MGR
30856,"Malam Madori",2664,MMD
30857,Ringim,2664,RNG
30858,"Sule Tankarkar",2664,STR
30859,Taura,2664,TAU
48315,"Kiri Kasamma",2664,KKS
48316,Auyo,2664,AUY
48317,Birniwa,2664,BNW
48318,Gagarawa,2664,GGR
48319,Guri,2664,GRI
48320,Miga,2664,MGA
48321,Roni,2664,RON
48322,Yankwashi,2664,YKS
